id,item_number,name_he,excel_name,description_he,image_url,was_active
"fcad375b-ee27-46be-8869-83867b138a4f","001-021C","מקדח יהלום - 5 יח  A4C","001-021","","","true"
"3446ed0a-c693-4ce9-82bd-30c4be127b34","001-014C","מקדח יהלום - 5 יח  A2C","001-014","2 2 2","","true"
"bf04da50-7501-4269-91e1-e7b736e5926a","001-018C","מקדח יהלום - 5 יח  A3C","001-018","3 3 3 3","","true"
"5d6a1065-32aa-4632-babb-f0792b35fd20","001-023F","מקדח יהלום - 5 יח","001-023","4 4 4 4","","true"
"a9665df2-2619-4622-b98b-1b9376ef9b9f","001-033C","מקדח יהלום - 5 יח A5LC","001-033","5 5","","true"
"c918c590-b8e1-4662-beee-84bb4c486523","257-016C","מקדח יהלום - 5 יח","257-016","1 1 1 1 אורך פעיל - 3.2 מ""מ","","true"
"18eb8632-e450-40b7-a5c5-bb05dcf33186","257-023C","מקדח יהלום - 5 יח  K2C","257-023","2 2 2 2 2 אורך פעיל - 5 מ""מ","","true"
"c9d30db0-cc87-4fc1-b1e0-a1043ad892b8","277-018C","מקדח יהלום - 5 יח","277-018","1 1 1 אורך פעיל - 3.4 מ""מ","","true"
"e724f91b-e9a5-45df-8d28-c2c465aa4392","277-021C","מקדח יהלום - 5 יח","277-021","אורך פעיל - 4.1 מ""מ","","true"
"6e400558-5096-4c35-8bd8-95f86e03d486","277-023XF","מקדח יהלום - 5 יח  K2RSF","277-023","2 2 2 2 2 אורך פעיל - 4.5 מ""מ","","true"
"96ac051f-8c5e-4054-b554-061f2210a601","517-018SC","מקדח יהלום - 5 יח","517-018","","","true"
"c4354d2f-5f55-4045-8450-9f30360872df","250-016M","מקדח יהלום - 5 יח","250-016","6 6 אורך פעיל - 10 מ""מ","","true"
"009aa25a-b3c1-41cf-bc74-e9d74e8314f2","250-012C","מקדח יהלום - 5 יח  Z50C","250-012","50 50 50 50 אורך פעיל - 10 מ""מ","","true"
"c4a1adc4-da0c-40f1-b016-95d8626d2840","250-014C","מקדח יהלום - 5 יח","250-014","51 51 51 אורך פעיל - 10 מ""מ","","true"
"a371b928-4827-4491-8d0c-ae53683d9bca","010-019C","מקדח יהלום - 5 יח  B2C","010-019C","2 אורך פעיל - 1.7 מ""מ","","true"
"32a63791-66ae-4244-8f27-0d54d5ec0aa0","552-021M","מקדח יהלום Depth Marker - יח5","552-021","","","true"
"ea96c8a6-2884-43f8-aa98-61407e8c461f","552-016M","מקדח יהלום Depth Marker - יח5","552-016","","","true"
