name,parent_category,match_strategy
"FG.TC0KC1","מקדחים","item_number"
"FG.TC000KC2","מקדחים","item_number"
"FG.TCKC330","מקדחים","item_number"
"FG.TCKC000557","מקדחים","item_number"
"FG.TC000EF9","מקדחים","item_number"
"151-Z","מקדחים","item_number"
"RA.TC1/4","מקדחים","item_number"
"RA.TC1/2","מקדחים","item_number"
"RA.TC1","מקדחים","item_number"
"RA.TC2","מקדחים","item_number"
"RA.TC3","מקדחים","item_number"
"RA.TC4","מקדחים","item_number"
"RA.TC5","מקדחים","item_number"
"RA.TC7","מקדחים","item_number"
"RA.TC35","מקדחים","item_number"
"RA.TC36","מקדחים","item_number"
"RA2SL","מקדחים","item_number"
"RA4SL","מקדחים","item_number"
"RA6SL","מקדחים","item_number"
"RA8SL","מקדחים","item_number"
"HP.TC00005","מקדחים","item_number"
"HP.TC00007","מקדחים","item_number"
"HP.TCLINDMAN162","מקדחים","item_number"
"LPA-KIT","מקדחים","item_number"
"KITCOMP3-STEP","מקדחים","item_number"
"MDTKIT06","מקדחים","item_number"
"MDTKIT08","מקדחים","item_number"
"MDTKIT14","מקדחים","item_number"
"R04 327-514-220","מקדחים","item_number"
"R04 350-514-190","מקדחים","item_number"
"350PS-504-220","מקדחים","item_number"
"356-504-220","מקדחים","item_number"
"358-504-220","מקדחים","item_number"
"390-504-220","מקדחים","item_number"
"400-504-220","מקדחים","item_number"
"400-507-220","מקדחים","item_number"
"400-514-220","מקדחים","item_number"
"400-504-140","מקדחים","item_number"
"400-504-180","מקדחים","item_number"
"E164-(015C/018C)","מקדחים","item_number"
"Z130-012ADJ","מקדחים","item_number"
"4Z198-018ADJ","מקדחים","item_number"
"Z198-021ADJ","מקדחים","item_number"
"Z249-014ADJ","מקדחים","item_number"
"Z298-014SADJ","מקדחים","item_number"
"D BUD KIT","מקדחים","item_number"
"LPA120C-15","מקדחים","item_number"
"LPA120F-15","מקדחים","item_number"
"LPA120M-15","מקדחים","item_number"
"LPA124C-15","מקדחים","item_number"
"LPA124F-15","מקדחים","item_number"
"LPA124M-15","מקדחים","item_number"
"LPS172F-15","מקדחים","item_number"
"LPS262F-15","מקדחים","item_number"
"LPS262M-15","מקדחים","item_number"
"LPS262TWF/M-15","מקדחים","item_number"
"LPS262TWM-15","מקדחים","item_number"
"LPS413F-15","מקדחים","item_number"
"LPS413M-15","מקדחים","item_number"
"LPZ262F-16","מקדחים","item_number"
"LPZ262M-16","מקדחים","item_number"
"LPZ262TWF-15","מקדחים","item_number"
"LPZ262TWM-15","מקדחים","item_number"
"LPZ413F-15","מקדחים","item_number"
"LPZ413M-15","מקדחים","item_number"
"LPZ172F-15","מקדחים","item_number"
"LPZ172M-15","מקדחים","item_number"
"SSP-40XF-M1","מקדחים","item_number"
"SSP-40F-M1","מקדחים","item_number"
"SSP-40M-M1","מקדחים","item_number"
"SSP-60XF-M1","מקדחים","item_number"
"DSP-40XF-M1","מקדחים","item_number"
"DSP-40XM-M1","מקדחים","item_number"
"SBS-000-M1","מקדחים","item_number"
"H172-(014/016/017/018)","מקדחים","item_number"
"H173-(016/018)","מקדחים","item_number"
"H198-(014/016/019/022)","מקדחים","item_number"
"H198-(014/016/019)","מקדחים","item_number"
"H199-(014/016/018)","מקדחים","item_number"
"H199-(014/016)","מקדחים","item_number"
"H298-(016/018)","מקדחים","item_number"
"H298-(014/016)","מקדחים","item_number"
"RA.TC6","מקדחים","item_number"
"מכשיר עקירות אטראומטי אוטומטי","כירורגיה והשתלות","name_he"
"מברגת טורק אוטומטית","כירורגיה והשתלות","name_he"
"contra angle 1:1 handpiece","טורבינות, זוויתנים וידיתנים","name_he"
"Mk - Dent Service Oil","סטריליזציה ותחזוקה","name_he"
"פיות שימון מכל הסוגים","סטריליזציה ותחזוקה","name_he"
"צינוריות לפיזיודיספנסר","כירורגיה והשתלות","name_he"
"Mk-Dent Prophy line","פרופילקטיקה","name_he"
"עגלה כירורגית","כירורגיה והשתלות","name_he"
"עגלה כירורגית רחבה","כירורגיה והשתלות","name_he"
"מפתח פלא להברגת מבנים","כירורגיה והשתלות","name_he"
"MK-dent אבקת פרופי","פרופילקטיקה","name_he"
"Dr.Dry Large","סטריליזציה ותחזוקה","name_he"
"Dr.Dry Large Reflective","סטריליזציה ותחזוקה","name_he"
"Dr.Dry Small Reflective","סטריליזציה ותחזוקה","name_he"
"Dr.Dry Small","סטריליזציה ותחזוקה","name_he"
"מזרק אספירציה אוטומטית","כלי יד","name_he"
"מזרק אספירציה","כלי יד","name_he"
