item_number,name_he,excel_name
"001-021C","מקדח יהלום - 5 יח  A4C","001-021"
"001-014C","מקדח יהלום - 5 יח  A2C","001-014"
"001-018C","מקדח יהלום - 5 יח  A3C","001-018"
"001-023F","מקדח יהלום - 5 יח","001-023"
"001-033C","מקדח יהלום - 5 יח A5LC","001-033"
"257-016C","מקדח יהלום - 5 יח","257-016"
"257-023C","מקדח יהלום - 5 יח  K2C","257-023"
"277-018C","מקדח יהלום - 5 יח","277-018"
"277-021C","מקדח יהלום - 5 יח","277-021"
"277-023XF","מקדח יהלום - 5 יח  K2RSF","277-023"
"517-018SC","מקדח יהלום - 5 יח","517-018"
"250-016M","מקדח יהלום - 5 יח","250-016"
"250-012C","מקדח יהלום - 5 יח  Z50C","250-012"
"250-014C","מקדח יהלום - 5 יח","250-014"
"010-019C","מקדח יהלום - 5 יח  B2C","010-019C"
"552-021M","מקדח יהלום Depth Marker - יח5","552-021"
"552-016M","מקדח יהלום Depth Marker - יח5","552-016"
"166-016C","מקדח יהלום - 5 יח  E3C","166-016"
"197-025C","מקדח יהלום - 5 יח","197 - 025"
"001-009C","מקדח יהלום - 5 יח","001-009C"
"001-010C","מקדח יהלום - 5 יח","001-010"
"001-012C","מקדח יהלום - 5 יח  A1C","001-012"
"001-016M","מקדח יהלום - 5 יח  A25M","001 - 016"
"010-012C","מקדח יהלום - 5 יח  B1C","010 - 012"
"010-014C","מקדח יהלום - 5 יח","010-014C"
"038-033C","מקדח יהלום - 5 יח  M41C","038-033"
"067-036C","מקדח יהלום - 5 יח","067-036C"
"068-042C","מקדח יהלום - 5 יח","068-042C"
"109-008C","מקדח יהלום - 5 יח","109-008"
"109-010C","מקדח יהלום - 5 יח   D1C","109-010"
"109-012C","מקדח יהלום - 5 יח","109-012C"
"109-016XC","מקדח יהלום - 5 יח","109-016XC"
"110-010C","מקדח יהלום - 5 יח","110-010"
"110-012C","מקדח יהלום - 5 יח","110-012C"
"110-014C","מקדח יהלום - 5 יח","110-014"
"110-016XC","מקדח יהלום - 5 יח","110-016XC"
"111-010C","מקדח יהלום - 5 יח","111-010C"
"111-012C","מקדח יהלום - 5 יח","111-012"
"111-014XC","מקדח יהלום - 5 יח","111-014XC"
"111-016XC","מקדח יהלום - 5 יח","111-016XC"
"111-018XC","מקדח יהלום - 5 יח","111-018XC"
"112-014C","מקדח יהלום - 5 יח","112 - 014 C"
"130-012C","מקדח יהלום - 5 יח","130-012"
"131-012C","מקדח יהלום בצורת צילינדר מחודד קו סיום של 135 מעלות - 5 יח","131-012"
"131-014C","מקדח יהלום - 5 יח","131-014C"
"139-010C","מקדח יהלום - 5 יח","139-010C"
"139-012C","מקדח יהלום - 5 יח","139-012"
"139-014C","מקדח יהלום - 5 יח","139-014"
"140-012F","מקדח יהלום - 5 יח","140-012"
"140-014C","מקדח יהלום - 5 יח","140-014"
"141-010C","מקדח יהלום - 5 יח","141-010C"
"141-012C","מקדח יהלום - 5 יח","141-012"
"141-014C","מקדח יהלום - 5 יח","141-014"
"141-016C","מקדח יהלום - 5 יח","141-016"
"141-018XC","מקדח יהלום - 5 יח","141-018XC"
"142-014M","מקדח יהלום - 5 יח","142-014M"
"150-016M","מקדח יהלום - 5 יח","150-016M"
"164-010C","מקדח יהלום - 5 יח","164-010"
"164-012C","מקדח יהלום - 5 יח","164-012"
"164-014C","מקדח יהלום - 5 יח","164-014"
"165-014XF","מקדח יהלום - 5 יח  E2SSF","165-014"
"166-010C","מקדח יהלום - 5 יח","166-010"
"166-012C","מקדח יהלום - 5 יח","166-012"
"166-014M","מקדח יהלום - 5 יח","166-014"
"166-018C","מקדח יהלום - 5 יח","166-018"
"167-012C","מקדח יהלום - 5 יח","167-012"
"172-014C","מקדח יהלום - 5 יח","172 - 014"
"172-016C","מקדח יהלום - 5 יח","172 - 016"
"172-018C","מקדח יהלום - 5 יח","172 - 018 C"
"173-012C","מקדח יהלום - 5 יח","173 - 012C"
"173-014C","מקדח יהלום - 5 יח","173 - 014C"
"173-016C","מקדח יהלום - 5 יח","173 - 016"
"173-018C","מקדח יהלום - 5 יח","173 - 018"
"174-013C","מקדח יהלום - 5 יח","174 - 013"
"196-009F","מקדח יהלום - 5 יח","196 - 009 F"
"196-026C","מקדח יהלום - 5 יח","196 - 026"
"197-012C","מקדח יהלום - 5 יח","197 - 012"
"197-014C","מקדח יהלום  - 5 יח  C1C","197 - 014"
"197-018SC","מקדח יהלום קצר  - 5 יח  C2S/C","197-018"
"197-023C","מקדח יהלום - 5 יח","197 - 023"
"198-012C","מקדח יהלום - 5 יח","198-012C"
"198-014C","מקדח יהלום - 5 יח","198-014"
"198-016C","מקדח יהלום - 5 יח","198-016"
"198-018C","מקדח יהלום - 5 יח","198-018"
"198-019XC","מקדח יהלום - 5 יח","198-019XC"
"198-021C","מקדח יהלום - 5 יח","198-021"
"198-025XC","מקדח יהלום - 5 יח  F25RSC","198-025XC"
"199-010F","מקדח יהלום - 5 יח","199-010"
"199-012C","מקדח יהלום - 5 יח","199-012"
"199-016C","מקדח יהלום - 5 יח  F1RC","199-016"
"199-018C","מקדח יהלום - 5 יח","199-018"
"199-019SC","מקדח יהלום Short - יח5   F2RC","199-019"
"200-016C","מקדח יהלום - 5 יח","200-016C"
"220-014M","מקדח יהלום - 5 יח","220-014M"
"225-013C","מקדח יהלום - 5 יח  B3C","225-013"
"225-016C","מקדח יהלום - 5 יח","225-016C"
"225-018C","מקדח יהלום - 5 יח  B4C","225-018C"
"237-012XF","מקדח יהלום - 5 יח","237-012XF"
"249-010C","מקדח יהלום - 5 יח","249-010"
"249-012F","מקדח יהלום - 5 יח","249-012"
"249-014C","מקדח יהלום - 5 יח   E5C","249-014"
"249-016C","מקדח יהלום - 5 יח","249-016C"
"250-010C","מקדח יהלום - 5 יח E53C","250-010"
"257-018C","מקדח יהלום - 5 יח","257-018"
"257-020C","מקדח יהלום - 5 יח","257-020"
"288-010F","מקדח יהלום - 5 יח","288-010F"
"288-012C","מקדח יהלום - 5 יח","288-012"
"289-012C","מקדח יהלום - 5 יח S11C/E73","289-012"
"289-014C","מקדח יהלום - 5 יח","289-014"
"290-010C","מקדח יהלום - 5 יח","290-010"
"290-012C","מקדח יהלום - 5 יח","290-012"
"290-014C","מקדח יהלום - 5 יח","290-014"
"299-012XC","מקדח יהלום - 5 יח","299-012XC"
"299-018C","מקדח יהלום - 5 יח","299-018"
"299-019F","מקדח יהלום - 5 יח","299-019S(Short)"
"508T-016M","מקדח יהלום - 5 יח - להשחזת שיניים בגבול החניכיים בצורה מתכנסת","508T-016M"
"521-019SC","מקדח יהלום - 5 יח","521-019S"
"539-007C","מקדח יהלום - 5 יח","539-007"
"540-008F","מקדח יהלום - 5 יח","540-008"
"540-010C","מקדח יהלום - 5 יח","540-010"
